Locations,Season,Leg,Longitude,Latitude
 Buenos Aires Jorge Newbery Domestic Airport,5,3,-58.44746,-34.58014
San Carlos de Bariloche Civic Center,5,3,-71.31028,-41.13347
San Carlos de Bariloche Del Turista Chocolate Factory  ,5,3,-71.31028,-41.13347
San Carlos de Bariloche Villa Catedral ,5,3,-71.43678,-41.16881
Bahia Lopez ,5,3,-71.56782,-41.07421
 San Carlos de Bariloche Bus Station ,5,4,-71.31028,-41.13347
Ministro Pistarini International Airport ,5,4,-58.53483,-34.815
Saint Petersburg Battleship Aurora ,5,4,30.33783,59.9554
Anichkov Palace,5,4,30.33977,59.93294
Saint Petersburg Bronze Horseman,5,4,30.30223,59.93638
Pushkin Old Tower Restaurant ,5,4,-3.612556,50.52916
Pushkin Tsarskoye Selo  Catherine's Palace ,5,4,30.39565,59.71612
Saint Petersburg Vitebsky Rail Terminal,5,5,30.3351,59.93428
Saint Petersburg Hermitage Museum,5,5,30.31456,59.93983
 Saint Petersburg Pulkovo Airport ,5,5,30.26784,59.80291
Cairo Tower of Cairo,5,5,31.22429,30.04592
Cairo Pharaonic Village ,5,5,31.23571,30.04442
Giza pyramid complex  Osiris Shaft  ,5,5,31.20885,30.01306
Giza Base of the Pyramid ,5,5,31.20885,30.01306
Giza Sphinx ,5,5,31.13757,29.97527
Giza Great Pyramids,5,6,31.1342,29.97923
 Cairo Old Cairo Airport to Luxor Luxor International Airport,5,6,31.23571,30.04442
Luxor Karnak Temple ,5,6,32.65727,25.71883
 Luxor Nile River  Banana Island or Pigeon Farm,5,6,31.24758,30.03737
Luxor Habu Temple ,5,6,32.63964,25.68724
 Luxor West Nile Ferry Port,5,6,44.38753,33.33937
Luxor Crocodile Island ,5,6,32.64187,25.6753
 Luxor Luxor International Airport ,5,7,32.7078,25.67058
 Nairobi Jomo Kenyatta International Airport  ,5,7,36.92607,-1.32271
 Kilimanjaro Bus station ,5,7,36.68487,-3.366428
Kibaoni Kavishe Hotel ,5,7,39.82318,-3.791117
Lake Manyara Lookout ,5,7,35.80618,-3.585602
 Kilimanjaro Kilimanjaro International Airport ,5,8,37.07444,-3.429167
Dubai Burj Al Arab  Helipad,5,8,55.18546,25.14158
Dubai Bur Dubai Abra Port   ,5,8,55.27078,25.20485
 Margham Dubai Desert Conservation Reserve  Margham Dunes,5,8,55.62733,24.9037
Margham Dubai Desert Conservation Reserve  Desert Oasis ,5,8,55.62733,24.9037
Dubai Wild Wadi,5,9,55.18922,25.13934
 Dubai Dubai International Airport ,5,9,55.36567,25.25317
Kolkata Sahid Minar ,5,9,88.34923,22.56286
Kolkata Hindu Temple ,5,9,88.40362,22.60671
Garia Globe Brick Factory ,5,9,88.39675,22.46295
 Garia to Kolkata Sealdah Station,5,9,88.37242,22.56838
 Kolkata Lansdowne Road ,5,9,88.35267,22.52667
Kolkata Victoria Memorial ,5,9,88.34256,22.54481
 Kolkata Netaji Subhash Chandra Bose International Airport ,5,10,88.44633,22.65204
Rotorua Rotorua Museum ,5,10,176.259,-38.13561
 Rotorua Okere Falls,5,10,176.345,-38.01699
Paengaroa Matapara Farms  ,5,10,176.4114,-37.8224
Auckland Westhaven Marina,5,11,174.7633,-36.84846
 Auckland Auckland Harbour Bridge,5,11,174.7455,-36.83087
 Auckland Auckland Airport ,5,11,174.785,-37.00825
Imus Malaguena Motors ,5,11,120.9405,14.40642
Victoria Field ,5,11,-93.6568,44.83453
